Rank,Team,Age,"W
▼",L,ORtg,DRtg,Pace,FTr,3PAr,TS%,TOV%,ORB%,FT/FGA,,Year,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G,
1,Boston Celtics*,28.2,64,18,123.2,111.6,11.6,97.2,0.224,0.471,0.578,10.8,24.9,0.18,2023,0.523,10.8,76.3,0.145,,TD Garden,"785,396","19,156"
2,Oklahoma City Thunder*,23.4,57,25,119.5,112.1,7.4,99.8,0.24,0.383,0.573,11.4,21.1,0.198,2023,0.53,13.6,73.8,0.202,,Paycom Center,"715,509","17,451"
3,Denver Nuggets*,27.1,57,25,118.5,113,5.5,96.8,0.224,0.352,0.562,11.5,25.5,0.17,2023,0.526,11.2,75.6,0.195,,Ball Arena,"807,062","19,684"
4,Minnesota Timberwolves*,27.2,56,26,115.6,109,6.6,97.1,0.27,0.384,0.559,13,23.2,0.209,2023,0.515,12.9,76.9,0.197,,Target Center,"720,960","17,584"
5,Los Angeles Clippers*,30.4,51,31,118.8,115.4,3.4,97.2,0.256,0.383,0.561,12,24.4,0.211,2023,0.541,11.7,74.8,0.183,,Crypto.com Arena,"776,782","18,946"
6,New York Knicks*,26.4,50,32,118.2,113.4,4.8,95.2,0.246,0.404,0.54,11.9,29.4,0.192,2023,0.543,12.3,76.1,0.176,,Madison Square Garden (IV),"808,885","19,729"
7,Dallas Mavericks*,26.5,50,32,117.6,115.4,2.2,100.1,0.251,0.441,0.562,11.2,22.2,0.19,2023,0.548,12.1,75.2,0.184,,American Airlines Center,"828,897","20,217"
8,New Orleans Pelicans*,26,49,33,117.4,112.9,4.5,97.9,0.261,0.373,0.558,11.8,24.4,0.202,2023,0.541,12.9,76.9,0.186,,Smoothie King Center,"692,054","17,301"
9,Phoenix Suns*,29.3,49,33,117.6,114.6,3,98.3,0.271,0.378,0.565,13.4,25,0.219,2023,0.536,11.3,75.6,0.178,,Footprint Center,"699,911","17,071"
10,Milwaukee Bucks*,30.2,49,33,118.4,115.8,2.6,99.9,0.27,0.43,0.568,11.5,21.8,0.209,2023,0.539,10.6,77.2,0.189,,Fiserv Forum,"740,850","17,659"
11,Cleveland Cavaliers*,26.2,48,34,115.2,112.7,2.5,97.2,0.234,0.422,0.557,12.4,23.2,0.179,2023,0.535,12.3,76.9,0.19,,Rocket Mortgage Fieldhouse,"793,167","19,432"
12,Philadelphia 76ers*,28.4,47,35,116.9,113.8,3.1,97.5,0.264,0.373,0.532,10.7,24.8,0.218,2023,0.537,13.1,74.3,0.215,,Wells Fargo Center,"821,714","20,042"
13,Indiana Pacers*,25.3,47,35,121,118,3,101.7,0.222,0.38,0.578,11.3,23.8,0.173,2023,0.556,12.1,74.1,0.228,,Gainbridge Fieldhouse,"677,554","16,526"
14,Orlando Magic*,24,47,35,113.4,111.3,2.1,96.9,0.287,0.369,0.541,13.3,25.3,0.218,2023,0.543,13.8,78.1,0.206,,Kia Center,"773,939","18,849"
15,Los Angeles Lakers*,28,47,35,115.9,115.3,0.6,100.9,0.276,0.358,0.566,12.5,19.9,0.216,2023,0.55,11.7,76.2,0.153,,Crypto.com Arena,"793,945","18,925"
16,Golden State Warriors,28.4,46,36,117.8,115.2,2.6,99.2,0.219,0.425,0.557,12.5,27.5,0.171,2023,0.539,11.5,76.1,0.195,,Chase Center,"740,624","18,064"
17,Miami Heat*,28,46,36,114,112.2,1.8,96.2,0.257,0.394,0.538,11.7,21.8,0.21,2023,0.543,12.7,78.1,0.174,,Kaseya Center,"809,743","19,750"
18,Sacramento Kings,26.4,46,36,116.9,115.2,1.7,98.8,0.229,0.432,0.556,11.6,24.5,0.171,2023,0.555,12.5,78.4,0.213,,Golden 1 Center,"735,015","17,927"
19,Houston Rockets,25.1,41,41,114.5,113.4,1.1,99,0.257,0.397,0.529,11.2,25.1,0.199,2023,0.533,12.2,76,0.219,,Toyota Center,"720,045","17,562"
20,Chicago Bulls,28.1,39,43,114.9,116.3,-1.4,96.3,0.236,0.358,0.534,11,25.1,0.187,2023,0.556,12.7,76.4,0.195,,United Center,"845,620","20,625"
21,Atlanta Hawks,26.2,36,46,117.2,119.4,-2.2,100.1,0.251,0.408,0.539,11.6,27.1,0.2,2023,0.572,12.4,75.2,0.192,,State Farm Arena,"696,418","16,986"
22,Brooklyn Nets,26.1,32,50,113.2,116.1,-2.9,96.9,0.234,0.412,0.531,11.8,25.2,0.177,2023,0.543,11.4,76,0.193,,Barclays Center,"720,291","17,568"
23,Utah Jazz,25.1,31,51,115.5,120.4,-4.9,99.5,0.251,0.406,0.539,13.6,28.1,0.209,2023,0.567,10.9,75.2,0.182,,Delta Center,"746,446","18,206"
